FALSE,Insulation ATR + CCS,10%,Direto,,,,,,Falso,Trocador de Calor (Dry Cooler) - pré LTWGS - Shell and Tube  (tipo Floating Head - melhor para limpeza),DCL-14,Método de Turton,,10 - 1000 m^2,-,"4,8229","-0,0922","0,1258","2,1 (Aço Liga/Inox)","1,04",-,"1,63","1,66",C_BM=C_0_p * [B_1 + (B_2 * F_m * F_p)],https://gemini.google.com/share/3ca67a9e91a0,"Falta converter para euro, e atualizar para valor presente",-,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,Trocador de Calor (Dry Cooler) - 2° do 1° Compressor Multiestágio H2 SOEC -  - Shell and Tube (fixed tube sheet),DLC-9,Método de Turton,,10 - 1000 m^2,-,"4,3247","-0,303","0,1634","2,7 (Aço Inox 316SS)","1,092",-,"1,63","1,66",C_BM=C_0_p * [B_1 + (B_2 * F_m * F_p)],https://gemini.google.com/share/2d02cf36525f,"Falta converter para euro, e atualizar para valor presente",,,,FALSE,Coalescer,COA-1,Método de Turton,,Volume em $m^3$,,"3,4974","0,4485","0,1074","2,1 (Aço Liga/Inox)","1,38 (Pressão de referência 15 bar)",-,"2,25","1,82","C_BM= 1,25 * {C_0_p * [B_1 + (B_2 * F_m * F_p)]}",https://gemini.google.com/share/aa522c15fa5c,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,Piping & Insulation SOEC + ATR,20%,Direto,,,,,,Falso,Trocador de Calor (Dry Cooler) - pós LTWGS - Shell and Tube (tipo Floating Head - melhor para limpeza),DCL-14,Método de Turton,,10 - 1000 m^2,-,"4,8229","-0,0922","0,1258","2,1 (Aço Liga/Inox)","1,04",-,"1,63","1,66",C_BM=C_0_p * [B_1 + (B_2 * F_m * F_p)],https://gemini.google.com/share/3ca67a9e91a0,"Falta converter para euro, e atualizar para valor presente",-,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,Trocador de Calor (Dry Cooler) - Entre Compressores Multiestágio H2 SOEC - Shell and Tube (fixed tube sheet),DLC-10,Método de Turton,,10 - 1000 m^2,-,"4,3247","-0,303","0,1634","2,7 (Aço Inox 316SS)","1,092",-,"1,63","1,66",C_BM=C_0_p * [B_1 + (B_2 * F_m * F_p)],https://gemini.google.com/share/2d02cf36525f,"Falta converter para euro, e atualizar para valor presente",,,,FALSE,Coalescer,COA-2,Método de Turton,,Volume em $m^3$,,"3,4974","0,4485","0,1074","2,1 (Aço Liga/Inox)","1,38 (Pressão de referência 15 bar)",-,"2,25","1,82","C_BM= 1,25 * {C_0_p * [B_1 + (B_2 * F_m * F_p)]}",https://gemini.google.com/share/aa522c15fa5c,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,Trocador de Calor (Dry Cooler) - Compressor H2 - Shell and Tube (fixed tube sheet),DCL-15,Método de Turton,,10 - 1000 m^2,-,"4,3247","-0,303","0,1634","2,7 (Aço Inox 316SS)","1,092",-,"1,63","1,66",C_BM=C_0_p * [B_1 + (B_2 * F_m * F_p)],https://gemini.google.com/share/2d02cf36525f,"Falta converter para euro, e atualizar para valor presente",-,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,Trocador de Calor (Dry Cooler) - 1° do 2° Compressor Multiestágio H2 SOEC -  - Shell and Tube (fixed tube sheet),DLC-11,Método de Turton,,10 - 1000 m^2,-,"4,3247","-0,303","0,1634","2,7 (Aço Inox 316SS)","1,092",-,"1,63","1,66",C_BM=C_0_p * [B_1 + (B_2 * F_m * F_p)],https://gemini.google.com/share/2d02cf36525f,"Falta converter para euro, e atualizar para valor presente",,,,FALSE,Coalescer,COA-3,Método de Turton,,Volume em $m^3$,,"3,4974","0,4485","0,1074","2,1 (Aço Liga/Inox)","1,38 (Pressão de referência 15 bar)",-,"2,25","1,82","C_BM= 1,25 * {C_0_p * [B_1 + (B_2 * F_m * F_p)]}",https://gemini.google.com/share/aa522c15fa5c,, ,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,Engenharia e Supervisão,33%,Indireto,,,,,,Falso,Trocador de Calor -  Aquecimento SOEC - Shell and Tube (Kettle Reboiler),HTX-1,Método de Turton,,10 - 1000 m^2,-,"4,4646","-0,5302","0,1644","2,7 (Aço Inox 316SS)","1,04",-,"1,63","1,66",C_BM=C_0_p * [B_1 + (B_2 * F_m * F_p)],https://gemini.google.com/share/d729c064b08b,"Falta converter para euro, e atualizar para valor presente",,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,Trocador de Calor (Dry Cooler) - Antes Compressores Multiestágio O2 SOEC -  - Shell and Tube (fixed tube sheet),DLC-4,Método de Turton,,10 - 1000 m^2,-,"4,3247","-0,303","0,1634","2,7 (Aço Inox 316SS)","1,092",-,"1,63","1,66",C_BM=C_0_p * [B_1 + (B_2 * F_m * F_p)],https://gemini.google.com/share/2d02cf36525f,"Falta converter para euro, e atualizar para valor presente",,,,FALSE,Electrical Heater, HTR-1,Método de Turton,,Potência ( 10 - 1000 kW),-,"2,858","0,8209","0,0075",-,-,"1,3",-,-,C_BM=C_0_p * F_BM,https://gemini.google.com/share/cfc02ec86590,"Falta converter para euro, e atualizar para valor presente",,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,Despesas de Construção,15%,Indireto,,,,,,Falso,Trocador de Calor para Chiller Elétrico,CHL-5,Método de Turton,,10 - 1000 m^2,-,"4,4646","-0,5302","0,1644","2,7 (Aço Inox 316SS)","1,02",-,"1,63","1,66",C_BM=C_0_p * [B_1 + (B_2 * F_m * F_p)],https://gemini.google.com/share/4b19b2b3a8f0,"Falta converter para euro, e atualizar para valor presente",,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,Trocador de Calor (Dry Cooler) - entre Compressores Multiestágio O2 SOEC - - Shell and Tube (fixed tube sheet),DLC-5,Método de Turton,,10 - 1000 m^2,-,"4,3247","-0,303","0,1634","2,7 (Aço Inox 316SS)","1,092",-,"1,63","1,66",C_BM=C_0_p * [B_1 + (B_2 * F_m * F_p)],https://gemini.google.com/share/2d02cf36525f,"Falta converter para euro, e atualizar para valor presente",,,,FALSE,Electrical Heater, HTR-2,Método de Turton,,Potência ( 10 - 1000 kW),-,"2,858","0,8209","0,0075",-,-,"1,3",-,-,C_BM=C_0_p * F_BM,https://gemini.google.com/share/cfc02ec86590,"Falta converter para euro, e atualizar para valor presente",,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,Contingency,15%,Extra,,,,,,Falso,Process Heaters - Electric,HTR-5,,,Potência ( 10 - 1000 kW),-,"2,858","0,8209","0,0075",-,-,"1,3",-,-,C_BM=C_0_p * F_BM,https://gemini.google.com/share/cfc02ec86590,"Falta converter para euro, e atualizar para valor presente",,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,Trocador de Calor (Dry Cooler) - 2° do 2° Compressor Multiestágio O2 SOEC - ,DLC-6,Método de Turton,,10 - 1000 m^2,-,"4,3247","-0,303","0,1634","2,7 (Aço Inox 316SS)","1,092",-,"1,63","1,66",C_BM=C_0_p * [B_1 + (B_2 * F_m * F_p)],https://gemini.google.com/share/2d02cf36525f,"Falta converter para euro, e atualizar para valor presente",,,,FALSE,Electrical Heater, HTR-3,Método de Turton,,Potência ( 10 - 1000 kW),-,"2,858","0,8209","0,0075",-,-,"1,3",-,-,C_BM=C_0_p * F_BM,https://gemini.google.com/share/cfc02ec86590,"Falta converter para euro, e atualizar para valor presente",,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,Coalescer (Vaso de Pressão Vertical com ajuste para considerar filtro),COA-5,Método de Turton,,Volume em m^3,,"3,4974","0,4485","0,1074","2,1 (Aço Liga/Inox)","1,2 (Pressão de referência 15 bar)",-,"2,25","1,82","C_BM= 1,25 * {C_0_p * [B_1 + (B_2 * F_m * F_p)]}",,"Falta converter para euro, e atualizar para valor presente",,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,Knock Out Drum Separator,KOT-3,Método de Turton,, capacidade (volume) em $m^3$,"1,2 (adição para contar odemister de alta eficiência no custo)","3,4974","0,4485","0,1074","3,1",1,-,"2,25","1,82",C_BM=C_0_p * [B_1 + (B_2 * F_m * F_p)] * F_muilti,https://gemini.google.com/share/ebb68aaa7f0a,"Falta converter para euro, e atualizar para valor presente",,,,FALSE,Electrical Chiller,CHL-1,Método de Turton,,Potência ( 10 - 1000 kW),-,"4,2523","0,7615","-0,0031",-,-,"1,3",-,-,C_BM=C_0_p * F_BM,https://gemini.google.com/share/cfc02ec86590,"Falta converter para euro, e atualizar para valor presente",,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,PSA - ATR- Vaso de pressão,PSA-3,,,"volumes entre 0,3 e 520  m^3",,"3,4974","0,4485","0,1074","3,1 (Aço Liga/Inox)","1,2 (Pressão de referência 15 bar)",-,"2,25","1,82","C_BM= 1,25 * {C_0_p * [B_1 + (B_2 * F_m * F_p)]}",https://gemini.google.com/share/35667c88cab6,"Falta converter para euro, e atualizar para valor presente",,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,Knock Out Drum Separator,KOT-4,Método de Turton,, capacidade (volume) em $m^3$,"1,2 (adição para contar odemister de alta eficiência no custo)","3,4974","0,4485","0,1074","3,1",1,-,"2,25","1,82",C_BM=C_0_p * [B_1 + (B_2 * F_m * F_p)] * F_muilti,https://gemini.google.com/share/ebb68aaa7f0a,"Falta converter para euro, e atualizar para valor presente",,,,FALSE,Electrical Chiller Heat Exchanger,CHL-2,,       ,10 - 1000 m^2,-,"4,4646","-0,5302","0,1644","2,7 (Aço Inox 316SS)","1,3",-,"1,63","1,66",C_BM=C_0_p * [B_1 + (B_2 * F_m * F_p)],https://gemini.google.com/share/4b19b2b3a8f0,,,,,Falso,,,,,,,,,,,,,,,,,,,
,Rectifier and Transfermer Balanço de Planta,"C-0-p = 200 USD/kW - IEA Global H2 Review

C_BM=C_0_p * 2,15",,,,,,,Falso,Multistage Alternating Compressor for Hydrogen,MCT-7,Método de Turton,,potência de eixo (10 - 10000 kW),-,"2,0309","1,2524","-0,0638","2,1 (Aço Liga/Inox)",-,"2,15",-,-,C_BM=C_0_p * F_BM * F_p,https://gemini.google.com/share/c133266a59a2,"Falta converter para euro, e atualizar para valor presente",,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,Trocador de Calor para Chiller Elétrico,CHL-3,Método de Turton,,10 - 1000 m^2,-,"4,4646","-0,5302","0,1644","2,7 (Aço Inox 316SS)",1,-,"1,63","1,66",C_BM=C_0_p * [B_1 + (B_2 * F_m * F_p)],https://gemini.google.com/share/4b19b2b3a8f0,"Falta converter para euro, e atualizar para valor presente",,,,FALSE,Electrical Chiller Heat Exchanger,CHL-3,,,10 - 1000 m^2,-,"4,4646","-0,5302","0,1644","2,7 (Aço Inox 316SS)","1,3",-,"1,63","1,66",C_BM=C_0_p * [B_1 + (B_2 * F_m * F_p)],https://gemini.google.com/share/4b19b2b3a8f0,,,,,Falso,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Falso,Centrifugal Water Pump para Água Ultra Pura + Motor,PMP-5,Método de Turton,,"Centrífuga (1 a 100 kW)
Recíproca (0,1 a 200 kW)
Desloc Positivo Rotativo (1 a 100 kW)",-,"3,3892
3,8696
3,4771","0,0536
0,3161
0,1350","0,1538
0,1220
0,1438","2,1 (Material Aço Inox 316 SS)",1,-,"1,89 (bomba centrífuga)","1,35 (bomba centrífuga)",C_BM=C_0_p * [B_1 + (B_2 * F_m * F_p)],https://gemini.google.com/share/0a659cdc0c21,"Falta converter para euro, e atualizar para valor presente",,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,Trocador de Calor para Chiller Elétrico,CHL-4,Método de Turton,,10 - 1000 m^2,-,"4,4646","-0,5302","0,1644","2,7 (Aço Inox 316SS)","1,3",-,"1,63","1,66",C_BM=C_0_p * [B_1 + (B_2 * F_m * F_p)],https://gemini.google.com/share/4b19b2b3a8f0,"Falta converter para euro, e atualizar para valor presente",,,,FALSE,Deoxigenator,,,,,,,,,,,,,,,https://gemini.google.com/share/c986880ad443,,,,,Falso,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Falso,Motor para Bombas de Água,PMP-5,Método de Turton,,"Até 75 kW
75 a 2600 kW",-,"3,3432
2,9508","0,2761
1,0688","0,0543
-0,1315",-,-,-,-,-,C_BM=C_0_p,https://gemini.google.com/share/0a659cdc0c21,"Falta converter para euro, e atualizar para valor presente",,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,Compressor Centrífugo Multiestágio O2  (2 estágios),MTC-2,Método de Turton,,potência de eixo (450 - 3000 W),-,"2,2891","1,3604","-0,1027","3,5 (ligas de Níquel/Monel (Serviço de alta pressão))",-,"2,15",-,-,C_BM=C_0_p * F_BM * F_m,https://gemini.google.com/share/611b1fa55a17,"Falta converter para euro, e atualizar para valor presente",,,,FALSE,Control Pressure Valve (ball),VAL-1,,,$A$ é geralmente o diâmetro nominal em polegadas ou o coeficiente $C_v$.,-,"3,1491","0,5841","-0,0125","2,4",1,-,"1,63","1,66",C_BM= {C_0_p * [B_1 + (B_2 * F_m * F_p)]},https://gemini.google.com/share/9a28e989e866,,,,,Falso,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Falso,Centrifugal Water Pump para Água Ultra Pura + Motor,PMP-6,Método de Turton,,"Centrífuga (1 a 100 kW)
Recíproca (0,1 a 200 kW)
Desloc Positivo Rotativo (1 a 100 kW)",-,"3,3892
3,8696
3,4771","0,0536
0,3161
0,1350","0,1538
0,1220
0,1438","2,1 (Material Aço Inox 316 SS)",1,-,"1,89 (bomba centrífuga)","1,35 (bomba centrífuga)",C_BM=C_0_p * [B_1 + (B_2 * F_m * F_p)],https://gemini.google.com/share/0a659cdc0c21,"Falta converter para euro, e atualizar para valor presente",,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,Compressor Centrífugo Multiestágio O2  (2 estágios),MTC-3,Método de Turton,,potência de eixo (450 - 3000 W),-,"2,2891","1,3604","-0,1027","3,5 (ligas de Níquel/Monel (Serviço de alta pressão))",-,"2,15",-,-,C_BM=C_0_p * F_BM * F_m,https://gemini.google.com/share/611b1fa55a17,"Falta converter para euro, e atualizar para valor presente",,,,FALSE,Control Pressure Valve (ball),VAL-2,,,$A$ é geralmente o diâmetro nominal em polegadas ou o coeficiente $C_v$.,-,"3,1491","0,5841","-0,0125","2,4",1,-,"1,63","1,66",C_BM= {C_0_p * [B_1 + (B_2 * F_m * F_p)]},https://gemini.google.com/share/9a28e989e866,,,,,Falso,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Falso,Motor para Bombas de Água,PMP-6,Método de Turton,,"Até 75 kW
75 a 2600 kW",-,"3,3432
2,9508","0,2761
1,0688","0,0543
-0,1315",-,-,-,-,-,C_BM=C_0_p,https://gemini.google.com/share/0a659cdc0c21,"Falta converter para euro, e atualizar para valor presente",,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,Compressor Alternativo Multiestágio H2  (3 estágios),MTC-4,Método de Turton,,potência de eixo (10 - 10000 W),-,"2,0309","1,2524","-0,0638","2,1 (Aço Liga/Inox)",-,"2,15",-,-,C_BM=C_0_p * F_BM * F_m,https://gemini.google.com/share/c133266a59a2,"Falta converter para euro, e atualizar para valor presente",,,,FALSE,Control Pressure Valve (ball),VAL-3,,,$A$ é geralmente o diâmetro nominal em polegadas ou o coeficiente $C_v$.,-,"3,1491","0,5841","-0,0125","2,4",1,-,"1,63","1,66",C_BM= {C_0_p * [B_1 + (B_2 * F_m * F_p)]},https://gemini.google.com/share/9a28e989e866,,,,,Falso,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Falso,Multicyclone Separator (Syngas) - [Vaso Vertical (Casco)] ,MCY-5,Método de Turton,,A = Volume do Vaso (m^3),,"3,4974","0,4485","0,1074","2,1 (Aço Inox 316)","1,78 (Pressão de referência 15 bar)",-,-,-,"C_{Base\_2001} = (C_{p,vaso} * F_P * F_M) + (C_{p,internos} * F_M)",https://gemini.google.com/share/6763f2b97d26,"Falta converter para euro, e atualizar para valor presente",,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,Compressor Alternativo Multiestágio H2  (2 estágios),MTC-5,Método de Turton,,potência de eixo (10 - 10000 W),-,"2,0309","1,2524","-0,0638","2,1 (Aço Liga/Inox)",-,"2,15",-,-,C_BM=C_0_p * F_BM * F_m,https://gemini.google.com/share/c133266a59a2,"Falta converter para euro, e atualizar para valor presente",,,,FALSE,Degasser Tank,DGS-1,Método de Turton,,"Volume (V) em m^3 - 0,3 a 520 m^3",,"3,4974","0,4485","0,1074",-,-,,,,C_BM=C_0_p,https://gemini.google.com/share/3fda2c38d5ca,,,,,Falso,,,,,,,,,,,,,,,,,,,
