Tag,Name,Block,Component Type,Topology IDs,Design Capacity,Unit,Capacity Source,Capacity Method,C_BM (EUR),C_BM Low,C_BM High,Cost Class,Formula,Within Bounds,Warnings,Errors
UTL-DC-BANK,Central Dry Cooler Bank (Glycol),Utilities,Air-Cooled Heat Exchanger,cooling_manager,1000.0,m²,component_parameter [Modular Split],turton,3321219.3,2324853.51,4317585.09,Class 4,"5 x (log10(Cp0) = 4.0336 + 0.2341*log10(1000.00) + 0.0497*[log10(1000.00)]²; Cp0 = $152,475; C_BM = Cp0 × (0.96 + 1.21×1.0×1.0) × 1.0 × CEPCI(2.0076))",Yes,,
UTL-CT-01,Central Cooling Tower (Evaporative),Utilities,Cooling Tower,cooling_manager,300.0,kW,component_parameter,turton,288697.73,202088.41,375307.05,Class 4,"log10(Cp0) = 4.8509 + -0.3698*log10(300.00) + 0.1706*[log10(300.00)]²; Cp0 = $95,870; C_BM = Cp0 × 1.5 × 1.0 × CEPCI(2.0076)",Yes,,
UTL-PUMP-GLY,Central Glycol Circulation Pumps,Utilities,Centrifugal Pump,cooling_manager,684.54,kW,monitoring_history,excluded,,,,Class 5,Excluded,Yes,,
CHL-2,SOEC H2 Chiller (Post-Deoxo),SOEC,Shell and Tube Heat Exchanger,SOEC_H2_Chiller_2,45.99,m²,monitoring_history,turton,150186.73,105130.71,195242.75,Class 4,"log10(Cp0) = 4.4646 + -0.53*log10(45.99) + 0.164*[log10(45.99)]²; Cp0 = $10,883; C_BM = Cp0 × (1.63 + 1.66×2.7×1.17) × 1.0 × CEPCI(2.0076)",Yes,,
COA-SOEC,SOEC H2 Coalescer,SOEC,Vertical Pressure Vessel,SOEC_H2_Coalescer,0.07,m³,component_parameter,turton,25094.26,17565.98,32622.54,Class 4,"log10(Cp0) = 3.4974 + 0.4485*log10(0.07) + 0.1074*[log10(0.07)]²; Cp0 = $1,329; C_BM = Cp0 × (2.25 + 1.82×2.1×1.38) × 1.25 × CEPCI(2.0076)",Yes,,
HEX-SOEC-H2,SOEC H2 Interchanger,SOEC,Shell and Tube Heat Exchanger,SOEC_H2_Interchanger_1,109.11,m²,monitoring_history,turton,142710.11,99897.08,185523.14,Class 4,"log10(Cp0) = 4.4646 + -0.53*log10(109.11) + 0.164*[log10(109.11)]²; Cp0 = $11,631; C_BM = Cp0 × (1.63 + 1.66×2.7×1.0) × 1.0 × CEPCI(2.0076)",Yes,,
HEX-SOEC-O2,SOEC O2 Interchanger,SOEC,Shell and Tube Heat Exchanger,SOEC_O2_Interchanger_1,40.89,m²,monitoring_history,turton,133429.8,93400.86,173458.74,Class 4,"log10(Cp0) = 4.4646 + -0.53*log10(40.89) + 0.164*[log10(40.89)]²; Cp0 = $10,874; C_BM = Cp0 × (1.63 + 1.66×2.7×1.0) × 1.0 × CEPCI(2.0076)",Yes,,
PEM_Electrolyzer,PEM Electrolyzer Stack,PEM,Electrolyzer PEM,PEM_Electrolyzer,5350.0,kW,component_parameter,vendor_quote,4403091.58,3522473.26,5283709.9,Class 3,"Vendor Quote €4,403,092 (direct)",Yes,,
KOT-PEM,PEM Knock-Out Drums (H2 + O2),PEM,Vertical Pressure Vessel,"PEM_H2_KOD_1, PEM_O2_KOD_1",0.59,m³,"calculated (fallback; volume_m3 not in history or params: volume_m3, V_tank, total_volume_m3, capacity_m3)",turton,47755.43,33428.8,62082.06,Class 4,"log10(Cp0) = 3.4974 + 0.4485*log10(0.59) + 0.1074*[log10(0.59)]²; Cp0 = $2,512; C_BM = Cp0 × (2.25 + 1.82×3.1×1.0) × 1.2 × CEPCI(2.0076)",Yes,,
COA-PEM,PEM Coalescers (H2 + O2),PEM,Vertical Pressure Vessel,"PEM_H2_Coalescer_1, PEM_H2_Coalescer_2, PEM_O2_Coalescer_1",0.24,m³,component_parameter,turton,34471.04,24129.73,44812.35,Class 4,"log10(Cp0) = 3.4974 + 0.4485*log10(0.24) + 0.1074*[log10(0.24)]²; Cp0 = $1,826; C_BM = Cp0 × (2.25 + 1.82×2.1×1.38) × 1.25 × CEPCI(2.0076)",Yes,,
HTR-PEM,PEM Electric Heaters,PEM,Electric Heater,"PEM_H2_ElectricBoiler_1, PEM_H2_ElectricBoiler_2, PEM_O2_ElectricBoiler",26.81,kW,monitoring_history,turton,60908.89,42636.22,79181.56,Class 4,"log10(Cp0) = 2.858 + 0.8209*log10(26.81) + 0.0075*[log10(26.81)]²; Cp0 = $11,113; C_BM = Cp0 × 1.3 × 2.1 × CEPCI(2.0076)",Yes,,
CHL-PEM,PEM Chillers (H2 + O2),PEM,Shell and Tube Heat Exchanger,"PEM_H2_Chiller_1, PEM_H2_Chiller_2, PEM_O2_Chiller_1",32.18,m²,monitoring_history,turton,150728.37,105509.86,195946.88,Class 4,"log10(Cp0) = 4.4646 + -0.53*log10(32.18) + 0.164*[log10(32.18)]²; Cp0 = $10,922; C_BM = Cp0 × (1.63 + 1.66×2.7×1.17) × 1.0 × CEPCI(2.0076)",Yes,,
DCL-PEM,PEM Dry Coolers,PEM,Air-Cooled Heat Exchanger,"PEM_H2_DryCooler_1, PEM_O2_Drycooler_1",15.0,m²,"calculated (fallback; area_m2 not in history or params: area_m2, heat_transfer_area_m2, A_hx, exchange_area_m2)",turton,204628.1,143239.67,266016.53,Class 4,"log10(Cp0) = 4.3247 + -0.303*log10(15.00) + 0.1634*[log10(15.00)]²; Cp0 = $15,644; C_BM = Cp0 × (1.63 + 1.66×2.7×1.09) × 1.0 × CEPCI(2.0076)",Yes,,
MCY-PEM,PEM Cyclone Separators,PEM,Vertical Pressure Vessel,"PEM_H2_Cyclone_1, PEM_H2_Cyclone_2, PEM_O2_Cyclone_1",0.3,m³,component_parameter [Modular Split],turton,31053.26,21737.28,40369.24,Class 4,"log10(Cp0) = 3.4974 + 0.4485*log10(0.30) + 0.1074*[log10(0.30)]²; Cp0 = $1,960; C_BM = Cp0 × (2.25 + 1.82×3.1×1.0) × 1.0 × CEPCI(2.0076)",Yes,,
DGS-PEM,PEM Degasser Tanks,PEM,Vertical Pressure Vessel,"PEM_Degasser_1, PEM_Degasser_2",3.0,m³,component_parameter,turton,72984.42,51089.09,94879.75,Class 4,"log10(Cp0) = 3.4974 + 0.4485*log10(3.00) + 0.1074*[log10(3.00)]²; Cp0 = $5,443; C_BM = Cp0 × (2.25 + 1.82×2.1×1.0) × 1.1 × CEPCI(2.0076)",Yes,,
VAL-PEM,PEM Control Valves,PEM,Ball Valve,"PEM_Water_Return_Valve_1, PEM_Water_Return_Valve_2, PEM_O2_Valve",0.0,inches,not_found,excluded,,,,Class 5,Excluded,Yes,,
DEOXO-PEM,PEM H2 Deoxidizer,PEM,Vertical Pressure Vessel,PEM_H2_Deoxo_1,0.11,m³,component_parameter,turton,63718.16,44602.71,82833.61,Class 4,"log10(Cp0) = 3.4974 + 0.449*log10(0.11) + 0.107*[log10(0.11)]²; Cp0 = $1,463; C_BM = Cp0 × (2.25 + 1.82×2.1×2.25) × 2.0 × CEPCI(2.0076)",Yes,,
PMP-PEM,PEM Water Pump,PEM,Centrifugal Pump,PEM_Water_Pump,13.15,kW,monitoring_history,turton,69060.83092244253,48342.58,89779.08,Class 4,"log10(Cp0) = 3.3892 + 0.0536*log10(13.15) + 0.1538*[log10(13.15)]²; Cp0 = $4,383; C_BM = Cp0 × 3.3 × 2.0 × CEPCI(2.0076) || + Motor(P_elec=14.6kW): €10,992 [<=75kW K1=3.3432]",Yes,,
ATR,Autothermal Reformer Reactor,ATR,Process Reactor,ATR_Plant,0.0,-,not_found,vendor_quote,3118657.0,2494925.6,3742388.4,Class 3,"Vendor Quote €3,118,657 (direct)",Yes,,
HT-WGS,High Temperature Water-Gas Shift Reactor,ATR,Process Reactor,ATR_Plant,0.0,-,not_found,vendor_quote,436612.0,349289.6,523934.4,Class 3,"Vendor Quote €436,612 (direct)",Yes,,
LT-WGS,Low Temperature Water-Gas Shift Reactor,ATR,Process Reactor,ATR_Plant,0.0,-,not_found,vendor_quote,436612.0,349289.6,523934.4,Class 3,"Vendor Quote €436,612 (direct)",Yes,,
MTC-6,Biogas Compressor (3 stages),ATR,Reciprocating Compressor,"Biogas_Compressor_1, Biogas_Compressor_2, Biogas_Compressor_3",152.15,kW,monitoring_history,turton,186779.19,130745.43,242812.95,Class 4,"log10(Cp0) = 2.0309 + 1.2524*log10(152.15) + -0.0638*[log10(152.15)]²; Cp0 = $28,849; C_BM = Cp0 × 2.15 × 1.5 × CEPCI(2.0076)",Yes,,
DCL-BG,Biogas Intercoolers,ATR,Air-Cooled Heat Exchanger,"Biogas_Intercooler_1, Biogas_Intercooler_2",10.5,m²,"calculated (fallback; area_m2 not in history or params: area_m2, heat_transfer_area_m2, A_hx, exchange_area_m2)",turton,200854.86,140598.4,261111.32,Class 4,"log10(Cp0) = 4.3247 + -0.303*log10(10.50) + 0.1634*[log10(10.50)]²; Cp0 = $15,335; C_BM = Cp0 × (1.63 + 1.66×2.7×1.092) × 1.0 × CEPCI(2.0076)",Yes,,
ATR-O2-COMP,ATR O2 Compressor,ATR,Centrifugal Compressor,ATR_O2_Compressor,92.93,kW,monitoring_history,turton,495705.45,346993.82,644417.09,Class 4,"log10(Cp0) = 2.2891 + 1.3604*log10(92.93) + -0.1027*[log10(92.93)]²; Cp0 = $37,047; C_BM = Cp0 × 2.15 × 3.1 × CEPCI(2.0076)",Yes,,
MCT-7,ATR H2 Compressor (2 stages),ATR,Reciprocating Compressor,"ATR_H2_Compressor_1, ATR_H2_Compressor_2",181.94,kW,monitoring_history,turton,310971.03,217679.72,404262.34,Class 4,"log10(Cp0) = 2.0309 + 1.2524*log10(181.94) + -0.0638*[log10(181.94)]²; Cp0 = $34,308; C_BM = Cp0 × 2.15 × 2.1 × CEPCI(2.0076)",Yes,,
DCL-ATR,ATR Dry Coolers,ATR,Air-Cooled Heat Exchanger,"ATR_DryCooler, ATR_H2_Drycooler",60.0,m²,"calculated (fallback; area_m2 not in history or params: area_m2, heat_transfer_area_m2, A_hx, exchange_area_m2)",turton,262885.44,184019.81,341751.07,Class 4,"log10(Cp0) = 4.3247 + -0.303*log10(60.00) + 0.1634*[log10(60.00)]²; Cp0 = $20,071; C_BM = Cp0 × (1.63 + 1.66×2.7×1.092) × 1.0 × CEPCI(2.0076)",Yes,,
CHL-ATR,ATR Chiller,ATR,Shell and Tube Heat Exchanger,ATR_Chiller_1,55.84,m²,monitoring_history,turton,138237.3,96766.11,179708.49,Class 4,"log10(Cp0) = 4.4646 + -0.53*log10(55.84) + 0.164*[log10(55.84)]²; Cp0 = $10,945; C_BM = Cp0 × (1.63 + 1.66×2.7×1.04) × 1.0 × CEPCI(2.0076)",Yes,,
MCY-ATR,ATR Cyclone Separators,ATR,Vertical Pressure Vessel,"ATR_Cyclone_1, ATR_Cyclone_2",0.3,m³,component_parameter [Modular Split],turton,31053.26,21737.28,40369.24,Class 4,"log10(Cp0) = 3.4974 + 0.4485*log10(0.30) + 0.1074*[log10(0.30)]²; Cp0 = $1,960; C_BM = Cp0 × (2.25 + 1.82×3.1×1.0) × 1.0 × CEPCI(2.0076)",Yes,,
COA-ATR,ATR Coalescer,ATR,Vertical Pressure Vessel,ATR_Coalescer_1,0.11,m³,component_parameter [Modular Split],turton,747889.5,523522.65,972256.35,Class 4,"30 x (log10(Cp0) = 3.4974 + 0.4485*log10(0.11) + 0.1074*[log10(0.11)]²; Cp0 = $1,453; C_BM = Cp0 × (2.25 + 1.82×2.1×1.2) × 1.25 × CEPCI(2.0076))",Yes,,
PSA-ATR,ATR PSA Unit,ATR,PSA Unit,ATR_PSA_1,7.85,m³,component_parameter,turton,219041.55,153329.08,284754.02,Class 4,"log10(Cp0) = 3.4974 + 0.4485*log10(7.85) + 0.1074*[log10(7.85)]²; Cp0 = $9,658; C_BM = Cp0 × (2.25 + 1.82×2.1×1.15) × 1.7 × CEPCI(2.0076)",Yes,,
HTX-ATR,ATR Electric Heaters,ATR,Electric Heater,"ATR_H01_Boiler, ATR_H02_Boiler, ATR_H04_Boiler",1000.0,kW,component_parameter [Modular Split],turton,1275972.06,893180.44,1658763.68,Class 4,"2 x (log10(Cp0) = 2.858 + 0.8209*log10(1000.00) + 0.0075*[log10(1000.00)]²; Cp0 = $244,456; C_BM = Cp0 × 1.3 × 1.0 × CEPCI(2.0076))",Yes,,
PMP-ATR,ATR Feed/Drain Pumps,ATR,Centrifugal Pump,"ATR_Feed_Pump, ATR_Drain_Pump_1, ATR_Drain_Pump_2",1.77,kW,monitoring_history,turton,39586.23593301556,27710.37,51462.11,Class 4,"log10(Cp0) = 3.3892 + 0.0536*log10(1.77) + 0.1538*[log10(1.77)]²; Cp0 = $2,581; C_BM = Cp0 × 3.3 × 2.0 × CEPCI(2.0076) || + Motor(P_elec=2.0kW): €5,387 [<=75kW K1=3.3432]",Yes,,
SYNGAS-CLR,ATR Syngas Cooler,ATR,Shell and Tube Heat Exchanger,ATR_Syngas_Cooler,375.83,m²,monitoring_history,turton,194391.45,136074.02,252708.88,Class 4,"log10(Cp0) = 4.4646 + -0.53*log10(375.83) + 0.164*[log10(375.83)]²; Cp0 = $15,391; C_BM = Cp0 × (1.63 + 1.66×2.7×1.04) × 1.0 × CEPCI(2.0076)",Yes,,
FST,Filling Loading Docks (5 stations),Storage,Dispensing Station,Truck_Station_1,0.0,-,not_found,vendor_quote,1931019.0,1544815.2,2317222.8,Class 3,"Vendor Quote €1,931,019 (direct)",Yes,,
HBT,Underground H2 Storage,Storage,Underground Storage,LP_Storage_Tank,0.0,-,not_found,vendor_quote,6736268.0,5389014.4,8083521.6,Class 3,"Vendor Quote €6,736,268 (direct)",Yes,,
LP-COMP,LP Compressor (to Tank),Storage,Reciprocating Compressor,LP_Compressor_S1,208.57,kW,monitoring_history,turton,354552.67,248186.87,460918.47,Class 4,"log10(Cp0) = 2.0309 + 1.2524*log10(208.57) + -0.0638*[log10(208.57)]²; Cp0 = $39,116; C_BM = Cp0 × 2.15 × 2.1 × CEPCI(2.0076)",Yes,,
LP-ICL,LP Compressor Intercooler,Storage,Air-Cooled Heat Exchanger,LP_Intercooler_1,50.0,m²,"calculated (fallback; area_m2 not in history or params: area_m2, heat_transfer_area_m2, A_hx, exchange_area_m2)",turton,250134.5,175094.15,325174.85,Class 4,"log10(Cp0) = 4.3247 + -0.303*log10(50.00) + 0.1634*[log10(50.00)]²; Cp0 = $19,123; C_BM = Cp0 × (1.63 + 1.66×2.7×1.09) × 1.0 × CEPCI(2.0076)",Yes,,
HP-ICL,HP Compressor Intercoolers,Storage,Air-Cooled Heat Exchanger,"HP_Intercooler_2, HP_Intercooler_3, HP_Intercooler_4",400.0,m²,"calculated (fallback; area_m2 not in history or params: area_m2, heat_transfer_area_m2, A_hx, exchange_area_m2)",turton,574405.27,402083.69,746726.85,Class 4,"log10(Cp0) = 4.3247 + -0.303*log10(400.00) + 0.1634*[log10(400.00)]²; Cp0 = $43,915; C_BM = Cp0 × (1.63 + 1.66×2.7×1.09) × 1.0 × CEPCI(2.0076)",Yes,,
WTR-SRC,Water Source/Supply,Water_Treatment,Utility System,Water_Source,12000.0,kg/h,component_parameter,excluded,,,,Class 5,Excluded,Yes,,
WTR-PUR,Water Purifier (UltraPure),Water_Treatment,Water Treatment,Water_Purifier,12000.0,kg/h,component_parameter,vendor_quote,1288210.7,1030568.56,1545852.84,Class 3,"Vendor Quote €1,288,211 (direct)",Yes,,
WTR-TANK,UltraPure Water Tank,Water_Treatment,Atmospheric Tank,UltraPure_Tank,20.0,m³,component_parameter,turton,193622.56,135535.79,251709.33,Class 4,"log10(Cp0) = 3.5565 + 0.3776*log10(20.00) + 0.0905*[log10(20.00)]²; Cp0 = $15,884; C_BM = Cp0 × (2.25 + 1.82×2.1×1.0) × 1.0 × CEPCI(2.0076)",Yes,,
H2-MIX,H2 Production Mixer,General,Flow Mixer,H2_Production_Mixer,561.21,kg/h,monitoring_history,excluded,,,,Class 5,Excluded,Yes,,
H2-CLR,H2 Production Cooler,General,Air-Cooled Heat Exchanger,H2_Production_Cooler,10.0,m²,"calculated (fallback; area_m2 not in history or params: area_m2, heat_transfer_area_m2, A_hx, exchange_area_m2)",turton,200312.28,140218.6,260405.96,Class 4,"log10(Cp0) = 4.3247 + -0.303*log10(10.00) + 0.1634*[log10(10.00)]²; Cp0 = $15,314; C_BM = Cp0 × (1.63 + 1.66×2.7×1.09) × 1.0 × CEPCI(2.0076)",Yes,,
RCT-1,Rectifier and Transformer (PEM),PEM,Power Electronics,PEM_Transformer,5570.0,kW,component_parameter,iea_scaling,2395100.0,1676570.0,3113630.0,Class 4,"IEA Method: 5,570.0 kW * €200.0 * 2.15",Yes,,
RCT-2,Rectifier and Transformer (SOEC),SOEC,Power Electronics,SOEC_Transformer,15250.0,kW,component_parameter,iea_scaling,6557500.0,4590250.0,8524750.0,Class 4,"IEA Method: 15,250.0 kW * €200.0 * 2.15",Yes,,
RCT-3,Rectifier and Transformer (BOP),Other,Power Electronics,BOP_Transformer,5000.0,kW,component_parameter,iea_scaling,2150000.0,1505000.0,2795000.0,Class 4,"IEA Method: 5,000.0 kW * €200.0 * 2.15",Yes,,

TOTAL,,,,,,,,,73608863.48218535,55780987.269999996,91436739.71,Class 4,,,,


BLOCK SUMMARY,,,,,,,,,,,,,,,,
Block,Equipment Count,Equipment Total (EUR),Equipment Low (EUR),Equipment High (EUR),Installation Categories,Installation Total (EUR),Installation Low (EUR),Installation High (EUR),Total Installed Cost (EUR),Total Installed Low (EUR),Total Installed High (EUR),,,,,
SOEC,22,39370267.0,29978923.0,48761612.0,"electrical: €19,685,134; instrumentation: €7,874,053; piping: €5,905,540",33464727.0,25482085.0,41447370.0,72834995.0,55461007.0,90208982.0,,,,,
Storage,6,11167785.0,8684178.0,13651392.0,"piping: €1,675,168; civil_foundations: €1,116,779",2791946.0,2171045.0,3412848.0,13959731.0,10855223.0,17064240.0,,,,,
Utilities,3,3609917.0,2526942.0,4692892.0,,0,0.0,0.0,3609917.0,2526942.0,4692892.0,,,,,
PEM,12,7533500.0,5713759.0,9353241.0,"electrical: €3,766,750; instrumentation: €1,506,700; piping: €1,130,025",6403475.0,4856695.0,7950255.0,13936975.0,10570455.0,17303496.0,,,,,
ATR,15,8095248.0,6065862.0,10124635.0,"piping: €5,261,911; civil_foundations: €2,023,812; insulation: €809,525",8095248.0,6065862.0,10124635.0,16190497.0,12131724.0,20249269.0,,,,,
Water_Treatment,3,1481833.0,1166104.0,1797562.0,"piping: €148,183",148183.0,116610.0,179756.0,1630017.0,1282715.0,1977318.0,,,,,
General,2,200312.0,140219.0,260406.0,"engineering_supervision: €66,103; construction_expenses: €30,047; contingency: €30,047",126197.0,88338.0,164056.0,326509.0,228556.0,424462.0,,,,,
Other,1,2150000.0,1505000.0,2795000.0,,0,0.0,0.0,2150000.0,1505000.0,2795000.0,,,,,

OVERALL TOTAL,64,73608863.0,55780987.0,91436740.0,,51029777.0,38780635.0,63278920.0,124638640.0,94561622.0,154715659.0,,,,,
